seed,sample,ranking_score
1,0,0.7997070393012004
1,1,0.8076923566935028
1,2,0.7994941546461042
1,3,0.7986025538617191
1,4,0.8042973106354955
2,0,0.7970401153488214
2,1,0.810504249729624
2,2,0.7960396025654884
2,3,0.8031234693097898
2,4,0.80624084595374
3,0,0.7990904570927234
3,1,0.8041276954232781
3,2,0.8043539917116508
3,3,0.7970085133190877
3,4,0.8005277364392764
4,0,0.8115755298920684
4,1,0.7964055188128707
4,2,0.8036382922727591
4,3,0.8035652679559306
4,4,0.8062813829942193
5,0,0.8045130955271227
5,1,0.8010105195528684
5,2,0.8102464855219685
5,3,0.8076591110264764
5,4,0.8000846115897895
