seed,sample,ranking_score
1,0,0.6838368001326702
1,1,0.7525778565961588
1,2,0.7449870463042179
1,3,0.7050337102799175
1,4,0.7014360749002084
2,0,0.7039587122600042
2,1,0.7273248318989177
2,2,0.7488103790998428
2,3,0.6945479703479974
2,4,0.6963649674445237
3,0,0.7062546386152296
3,1,0.7181373676765059
3,2,0.730678418428332
3,3,0.7043243247790425
3,4,0.6960823502862156
4,0,0.6816288192544627
4,1,0.7102330680890464
4,2,0.7158126044682407
4,3,0.7002767708395673
4,4,0.7359401021821295
5,0,0.7250661781842452
5,1,0.7298964586891671
5,2,0.730528557815487
5,3,0.7203047771792013
5,4,0.7176074155531585
