seed,sample,ranking_score
1,0,0.9616083765969341
1,1,0.9690239731278922
1,2,0.9793284539151678
1,3,0.9749128656703516
1,4,0.9787731080577884
2,0,0.9676292845972043
2,1,0.9742822579110741
2,2,0.9811782768904538
2,3,0.9642445515087636
2,4,0.9806417776906086
3,0,0.969325400991043
3,1,0.9705148083657262
3,2,0.9776154953459224
3,3,0.9785490630284785
3,4,0.9770305083194653
4,0,0.9691804805757482
4,1,0.969189977030584
4,2,0.9706548191243569
4,3,0.977483594682242
4,4,0.9780637277934159
5,0,0.975739051170226
5,1,0.976449904441977
5,2,0.9693312295526471
5,3,0.9697818781958325
5,4,0.9745593952258033
