seed,sample,ranking_score
1,0,0.9036497606426132
1,1,0.542816133163969
1,2,0.43968118215845775
1,3,0.6926464680515226
1,4,0.653501301367099
2,0,0.8532149117282144
2,1,0.6242313388673826
2,2,0.5168729631758859
2,3,0.9335475676800069
2,4,0.4256590668157162
3,0,0.8553928485818207
3,1,0.376014061174584
3,2,0.8092746805610505
3,3,0.4451980343744937
3,4,0.5618725611331126
4,0,0.4453193961811829
4,1,0.7811346330850596
4,2,0.6338157245119691
4,3,0.7912836729009249
4,4,0.8938058685440428
5,0,0.634063706645131
5,1,0.648300233836142
5,2,0.8514053440301648
5,3,0.8395758036411679
5,4,0.7033469055023007
