seed,sample,ranking_score
1,0,0.7956414979326062
1,1,0.8257748152687349
1,2,0.8141671533413651
1,3,0.8299764359509233
1,4,0.8511557947528159
2,0,0.8076160684272632
2,1,0.8287864682332332
2,2,0.7978854256211014
2,3,0.7986916391498006
2,4,0.7885050764128916
3,0,0.8206815168026314
3,1,0.8040157416720219
3,2,0.8032403505404629
3,3,0.811309898830623
3,4,0.8108104236012696
4,0,0.8112194422234178
4,1,0.8098774212201416
4,2,0.8132759562806279
4,3,0.8242707178996167
4,4,0.8079682531234251
5,0,0.8348423513479277
5,1,0.8235971601288593
5,2,0.8180256283018422
5,3,0.7939059621107847
5,4,0.8113482211108959
