seed,sample,ranking_score
1,0,1.0339356341764931
1,1,0.9800795906609951
1,2,0.9588961765657865
1,3,1.0284496607533309
1,4,0.9408325391161806
2,0,0.9088449407455204
2,1,1.0065513425908494
2,2,0.923982310013096
2,3,0.9809289247310442
2,4,0.9591420290030161
3,0,1.0093934190416465
3,1,0.9394663243336425
3,2,0.9572096669503162
3,3,0.9062056136281551
3,4,0.9060597430154601
4,0,0.9541961286276575
4,1,0.9223912650179298
4,2,0.9775887925259503
4,3,0.9589114638326203
4,4,0.9336912372540443
5,0,0.893512016583297
5,1,0.8950046649088114
5,2,0.8925998461377607
5,3,0.9560287219424277
5,4,0.9168371000706155
