seed,sample,ranking_score
1,0,0.9471235748233067
1,1,0.9584635936627968
1,2,0.9542268665826177
1,3,0.969081266822081
1,4,0.9294989537677517
2,0,0.9233958501430415
2,1,0.9730293621330237
2,2,0.9543277273114585
2,3,0.9891172705089029
2,4,0.9496842087509798
3,0,0.8718065423535889
3,1,0.9909632967414121
3,2,0.938502979771809
3,3,0.981749206676624
3,4,0.9419010893291317
4,0,0.9941721444968108
4,1,0.9578859563339004
4,2,0.9376239533887383
4,3,0.964051618516268
4,4,0.9430433654232036
5,0,0.9577250791175651
5,1,0.8947186513487811
5,2,0.9274792298512399
5,3,0.9042226766290485
5,4,0.931922709193231
