seed,sample,ranking_score
1,0,0.7200138644108898
1,1,0.6017003266497963
1,2,0.5561360882159332
1,3,0.769963068173575
1,4,0.7549103866940093
2,0,0.7377739268313601
2,1,0.5348878079857368
2,2,0.7398481770149157
2,3,0.6687626965179216
2,4,0.7096121450900019
3,0,0.6480536918680151
3,1,0.8183955384692989
3,2,0.7097086127864431
3,3,0.7380700700361889
3,4,0.7996153738306266
4,0,0.7594934559802833
4,1,0.7370174316068687
4,2,0.7488945414486261
4,3,0.6217243561836601
4,4,0.514134870107853
5,0,0.8625237798097085
5,1,0.5417698026452469
5,2,0.6603882577281512
5,3,0.7709874328245394
5,4,0.704537038288376
