seed,sample,ranking_score
1,0,0.8934738296018654
1,1,0.915497951079702
1,2,0.9897398635145933
1,3,0.9946927370820275
1,4,0.9662459519166069
2,0,1.0144513555126067
2,1,0.9340056300669646
2,2,0.9697405913308088
2,3,0.9473925522527471
2,4,0.9127960988427406
3,0,0.9459840176630324
3,1,0.9786114093981727
3,2,0.9254921454293785
3,3,0.9694305302970905
3,4,0.9084771245913531
4,0,0.97349117448658
4,1,0.942128326605676
4,2,0.949370444379017
4,3,0.9522401971959075
4,4,1.00345440938237
5,0,1.031866329555898
5,1,0.9275781417547857
5,2,0.9777757069931227
5,3,0.9673507240071735
5,4,0.9704840652105694
