seed,sample,ranking_score
1,0,0.6094828729550373
1,1,0.5667570133676696
1,2,0.6255928915886415
1,3,0.8241507322523414
1,4,0.8992423680544172
2,0,0.5553677515138418
2,1,0.8453528618445472
2,2,0.8226385773096789
2,3,0.7091958096221724
2,4,0.8511530451467514
3,0,0.6214581505398149
3,1,0.791647397166326
3,2,0.8681317282851603
3,3,0.6062758539843959
3,4,0.6334735115993931
4,0,0.8365451254753128
4,1,0.8324162734244548
4,2,0.8144066312370639
4,3,0.8387946931604611
4,4,0.8059747053289161
5,0,0.8591142428078596
5,1,0.8483428229450805
5,2,0.7320182143718081
5,3,0.6301923645672374
5,4,0.7603387159200856
