seed,sample,ranking_score
1,0,0.8514755589758514
1,1,0.808954056355347
1,2,0.7959426176502119
1,3,0.8644484433340931
1,4,0.8593895828607003
2,0,0.8599821013203484
2,1,0.784181039785665
2,2,0.5067724702862297
2,3,0.8058928189219347
2,4,0.7910929514053466
3,0,0.8586173684008342
3,1,0.7867266360575793
3,2,0.7925737084980222
3,3,0.7756037288602498
3,4,0.8101930009847162
4,0,0.8406879643993069
4,1,0.7617270349075356
4,2,0.8500431731978444
4,3,0.7989073234298143
4,4,0.8599111304009774
5,0,0.7913677820755133
5,1,0.48382252937658926
5,2,0.7514742208612588
5,3,0.8522589894569599
5,4,0.7894427220335979
