seed,sample,ranking_score
1,0,0.7260149699073889
1,1,0.7568629029095041
1,2,0.7760705575344391
1,3,0.7743844380074113
1,4,0.7776275569556125
2,0,0.778963564493076
2,1,0.7707808750148177
2,2,0.768203569753242
2,3,0.8100616423725983
2,4,0.7664401829271487
3,0,0.7710959763044296
3,1,0.7317929234192937
3,2,0.7783662127163806
3,3,0.7890025583230796
3,4,0.7897182622891672
4,0,0.7608985775056456
4,1,0.789659375079968
4,2,0.7879111209413684
4,3,0.7783187461221746
4,4,0.7791660855418011
5,0,0.7782876147840136
5,1,0.7674471489959027
5,2,0.7488891319289186
5,3,0.7713595079093151
5,4,0.7697560580226956
