seed,sample,ranking_score
1,0,0.7882344972695297
1,1,0.8237030707136765
1,2,0.8154916192712014
1,3,0.8254860868716655
1,4,0.8497066446905213
2,0,0.8164896830305961
2,1,0.8157541595409654
2,2,0.8033976473117189
2,3,0.8004423525644403
2,4,0.7888561309753689
3,0,0.8257088401947269
3,1,0.8070048132415276
3,2,0.8058878249638023
3,3,0.8192358635441266
3,4,0.8242994402773954
4,0,0.8074780902681997
4,1,0.7895556255173238
4,2,0.8204294622952464
4,3,0.8084509639860397
4,4,0.8202566951817034
5,0,0.8162265717753474
5,1,0.8256470723638165
5,2,0.816120237611409
5,3,0.79376874789401
5,4,0.8079165917690636
