seed,sample,ranking_score
1,0,0.8154471646344104
1,1,0.8385391430806644
1,2,0.8208529453074934
1,3,0.8406196950980991
1,4,0.8275522982365873
2,0,0.8322010118289531
2,1,0.8285413696477157
2,2,0.8354532119103304
2,3,0.7853400742300561
2,4,0.826214048879437
3,0,0.8313089669629636
3,1,0.8273185254026879
3,2,0.83961936901523
3,3,0.8173383592687655
3,4,0.8374548041640324
4,0,0.831596512653756
4,1,0.830834604624037
4,2,0.8500013539000097
4,3,0.8311213526213012
4,4,0.836705953934212
5,0,0.8346749104989146
5,1,0.8296460920387425
5,2,0.8422422714082626
5,3,0.8395979372886646
5,4,0.8273707523072423
